Institution,Service,URL,Notes
Stanford University,Data_analysis_web,https://library.stanford.edu/research/cidr/workshops,
Stanford University,Data_management_instruction,https://library.stanford.edu/research/data-management-services/events,
Stanford University,Data_repository,https://library.stanford.edu/research/stanford-digital-repository,
Stanford University,Data_visualization_software_consult,NA,
Stanford University,Data_visualization_software_web,NA,
Stanford University,Geospatial_software_consult,https://library.stanford.edu/research/stanford-geospatial-center/services,
Stanford University,Geospatial_web,https://library.stanford.edu/research/stanford-geospatial-center,
Stanford University,OSF,https://library.stanford.edu/research/data-management-services/data-best-practices/helpful-tools,
Stanford University,Reproducible_research,NA,they offer workshops but there isn't a web page that directly speaks to reproducibility
Stanford University,Text_data_mining,https://library.stanford.edu/events/text-analysis-python-digital-tools-and-methods-humanities-and-social-sciences,
Texas A&M University,Data_analysis_instruction,NA,
Texas A&M University,Data_analysis_web,NA,
Texas A&M University,Data_management_consult,https://askus.library.tamu.edu/rdms,
Texas A&M University,Data_visualization_software_consult,NA,
Texas A&M University,Data_visualization_software_instruction,NA,
Texas A&M University,Data_visualization_software_web,NA,
Texas A&M University,Electronic_lab_notebooks,NA,
Texas A&M University,Geospatial_consult,NA,GeoSAT on campus https://geosat.tamu.edu/service/support/
Texas A&M University,Geospatial_instruction,NA,
Texas A&M University,Geospatial_software_consult,NA,
Texas A&M University,Geospatial_software_web,NA,
Texas A&M University,Geospatial_web,NA,
Texas A&M University,OSF,https://tamu.libcal.com/event/7347739,
Texas A&M University,Reproducible_research,https://tamu.libguides.com/research-data-management/FAIR,
Texas A&M University,Statistical_consulting,NA,
Texas A&M University,Text_data_mining,NA,
Texas A&M University,Version_control,NA,
Texas A&M University,Web_scraping,NA,
University of Illinois at Urbana-Champaign,Data_management_consult,https://www.library.illinois.edu/rds/,
University of Illinois at Urbana-Champaign,Data_management_plans_consult,https://www.library.illinois.edu/rds/,
University of Illinois at Urbana-Champaign,Data_management_plans_instruction,NA,
University of Illinois at Urbana-Champaign,Data_visualization_software_consult,https://www.library.illinois.edu/sc/about_us/resources_experts/,
University of Illinois at Urbana-Champaign,Data_visualization_software_instruction,NA,
University of Illinois at Urbana-Champaign,Data_visualization_software_web,https://www.library.illinois.edu/sc/services/data-visualization/,
University of Illinois at Urbana-Champaign,Electronic_lab_notebooks,NA,
University of Illinois at Urbana-Champaign,Geospatial_software_web,NA,
University of Illinois at Urbana-Champaign,Geospatial_web,https://guides.library.illinois.edu/GIS,
University of Illinois at Urbana-Champaign,OSF,https://guides.library.illinois.edu/istclibraryguide/ideals,
University of Illinois at Urbana-Champaign,Statistical_consulting,https://www.library.illinois.edu/sc/statistical-consulting/,
University of Illinois at Urbana-Champaign,Web_scraping,NA,
University of North Carolina at Chapel Hill,Data_analysis_web,NA,
University of North Carolina at Chapel Hill,Data_management_consult,https://guides.lib.unc.edu/michelehayslett,
University of North Carolina at Chapel Hill,Data_management_instruction,https://guides.lib.unc.edu/researchdatatoolkit,
University of North Carolina at Chapel Hill,Data_management_plans_consult,https://calendar.lib.unc.edu/appointments/technology?g=6682,
University of North Carolina at Chapel Hill,Data_management_plans_instruction,NA,
University of North Carolina at Chapel Hill,Electronic_lab_notebooks,NA,
University of North Carolina at Chapel Hill,Geospatial_consult,https://library.unc.edu/data/gis-assistance/,
University of North Carolina at Chapel Hill,Geospatial_instruction,https://guides.lib.unc.edu/c.php?g=9007&p=45215,
University of North Carolina at Chapel Hill,Geospatial_software_consult,https://guides.lib.unc.edu/c.php?g=9007&p=45214,
University of North Carolina at Chapel Hill,Geospatial_software_instruction,https://guides.lib.unc.edu/c.php?g=9007&p=45216,
University of North Carolina at Chapel Hill,Geospatial_web,https://guides.lib.unc.edu/spatialdata,I think this is applicable
University of North Carolina at Chapel Hill,OSF,https://osf.io/institutions/unc/,
University of North Carolina at Chapel Hill,Reproducible_research,https://dataverse.unc.edu/,Not sure if this is what we are looking for but it is a website that houses datasets of published articles
University of North Carolina at Chapel Hill,Text_data_mining,NA,
University of North Carolina at Chapel Hill,Web_scraping,NA,
University of Utah,Data_analysis_instruction,https://campusguides.lib.utah.edu/c.php?g=1029638&p=7462997,Could only find for qualitative data
University of Utah,Data_analysis_web,NA,
University of Utah,Data_management_plans_instruction,https://campusguides.lib.utah.edu/researchdata,
University of Utah,Data_repository,https://campusguides.lib.utah.edu/c.php?g=160788&p=1051585,
University of Utah,Data_visualization_software_consult,NA,
University of Utah,Data_visualization_software_instruction,NA,
University of Utah,Geospatial_instruction,https://lib.utah.edu/services/geospatial/training-materials.php,Yes but the only thing they have that is made by them is tutorials on Google Eart. Other instrucitons are redirects to Esri
University of Utah,Geospatial_web,NA,Do not have thier own Geospatial web just redirects to common sites that do
University of Utah,OSF,https://osf.io/gd8h9/wiki/home/,
University of Utah,Text_data_mining,NA,
University of Utah,Web_scraping,NA,
University of Arizona,Data_analysis_instruction,NA,
University of Arizona,Data_analysis_web,NA,
University of Arizona,Data_management_instruction,https://data.library.arizona.edu/data-management/events-schedule-current,
University of Arizona,Data_management_plans_instruction,https://data.library.arizona.edu/data-management/events-schedule-current,
University of Arizona,Data_visualization_software_consult,https://data.library.arizona.edu/data-science/r-programming,
University of Arizona,Data_visualization_software_instruction,NA,Unclear/not explicit: https://data.library.arizona.edu/data-science/carpentries
University of Arizona,Data_visualization_software_web,https://data.library.arizona.edu/data-science/data-visualization,
University of Arizona,Electronic_lab_notebooks,NA,
University of Arizona,Geospatial_web,https://libguides.library.arizona.edu/GIS,
University of Arizona,Statistical_consulting,NA,
University of Arizona,Version_control,NA,
University of Arizona,Web_scraping,NA,
"University of California, Berkeley",Data_analysis_instruction,https://guides.lib.berkeley.edu/data-analysis,
"University of California, Berkeley",Data_analysis_web,NA,
"University of California, Berkeley",Data_management_instruction,NA,"Don't seem like they had one recently, but see this: https://researchdata.berkeley.edu/events"
"University of California, Berkeley",Data_management_plans_instruction,https://researchdata.berkeley.edu/training,
"University of California, Berkeley",Data_management_plans_web,https://guides.lib.berkeley.edu/c.php?g=862102&p=6178956,
"University of California, Berkeley",Data_repository,https://www.lib.berkeley.edu/scholarly-communication/publishing/your-data,
"University of California, Berkeley",Data_visualization_software_consult,https://guides.lib.berkeley.edu/c.php?g=1069243&p=7782608,
"University of California, Berkeley",Data_visualization_software_instruction,https://guides.lib.berkeley.edu/data-analysis,
"University of California, Berkeley",Electronic_lab_notebooks,https://guides.lib.berkeley.edu/ERN,
"University of California, Berkeley",Geospatial_software_consult,https://guides.lib.berkeley.edu/gis/help,
"University of California, Berkeley",Geospatial_web,https://guides.lib.berkeley.edu/gis,
"University of California, Berkeley",OSF,https://researchdata.berkeley.edu/tools/open-science-framework,
"University of California, Berkeley",Statistical_consulting,NA,Not sure. They have a subject librarian but not clear if this is consultation and what it covers: https://guides.lib.berkeley.edu/statistics
"University of California, Berkeley",Version_control,NA,"No specific page, just part of reproducible research it seems: https://guides.lib.berkeley.edu/c.php?g=652220&p=7469628"
"University of California, Berkeley",Web_scraping,https://guides.lib.berkeley.edu/text-mining,
University of Iowa,Data_analysis_web,NA,
University of Iowa,Data_management_instruction,https://www.lib.uiowa.edu/data/workshop/,
University of Iowa,Data_management_plans_instruction,https://www.lib.uiowa.edu/data/workshop/,
University of Iowa,Data_repository,NA,
University of Iowa,Data_visualization_software_consult,NA,
University of Iowa,Data_visualization_software_instruction,NA,
University of Iowa,Data_visualization_software_web,NA,
University of Iowa,DMPTool,https://www.lib.uiowa.edu/data/plan/tools/,
University of Iowa,Electronic_lab_notebooks,NA,
University of Iowa,Geospatial_consult,NA,
University of Iowa,Geospatial_instruction,https://guides.lib.uiowa.edu/c.php?g=132116&p=2316517,
University of Iowa,Geospatial_software_consult,NA,
University of Iowa,Geospatial_software_instruction,https://guides.lib.uiowa.edu/c.php?g=132116&p=2316517,
University of Iowa,Geospatial_web,https://guides.lib.uiowa.edu/c.php?g=132116&p=862462,
University of Iowa,OSF,NA,
University of Iowa,Reproducible_research,NA,
University of Iowa,Statistical_consulting,NA,
University of Iowa,Text_data_mining,NA,
University of Iowa,Version_control,NA,
University of Iowa,Web_scraping,NA,Other events but not library affiliated
University of Oregon,Data_analysis_instruction,https://library.uoregon.edu/research-data-management/training-workshops,
University of Oregon,Data_analysis_web,NA,Maybe? https://library.uoregon.edu/data-services
University of Oregon,Data_management_instruction,NA,
University of Oregon,Data_management_plans_consult,https://library.uoregon.edu/research-data-management/consultations,
University of Oregon,Data_visualization_software_consult,NA,
University of Oregon,Data_visualization_software_web,https://researchguides.uoregon.edu/library_workshops/tidyverse,
University of Oregon,DMPTool,https://researchguides.uoregon.edu/dmp-tool,
University of Oregon,Electronic_lab_notebooks,NA,
University of Oregon,Geospatial_consult,NA,They have subject librarian but not clear
University of Oregon,Geospatial_instruction,NA,
University of Oregon,Geospatial_software_consult,NA,They have subject librarian but not clear
University of Oregon,Geospatial_software_instruction,NA,
University of Oregon,Geospatial_software_web,https://researchguides.uoregon.edu/gis/uo-resources,
University of Oregon,OSF,NA,
University of Oregon,Reproducible_research,https://library.uoregon.edu/research-data-management/training-workshops,
University of Oregon,Text_data_mining,NA,
University of Oregon,Web_scraping,NA,
University of Washington,Data_analysis_web,NA,No by some definition: https://guides.lib.uw.edu/hsl/data/analyze
University of Washington,Data_management_plans_web,NA,
University of Washington,Data_repository,NA,
University of Washington,Data_visualization_software_consult,https://guides.lib.uw.edu/datavisualization/home ,
University of Washington,Data_visualization_software_instruction,NA,
University of Washington,Data_visualization_software_web,NA,
University of Washington,Electronic_lab_notebooks,https://guides.lib.uw.edu/research/ELN,
University of Washington,Geospatial_instruction,NA,
University of Washington,Geospatial_software_instruction,NA,
University of Washington,Geospatial_software_web,NA,
University of Washington,Geospatial_web,https://guides.lib.uw.edu/research/gis,
University of Washington,Statistical_consulting,NA,
University of Washington,Version_control,https://guides.lib.uw.edu/research/reproducibility/robust-coding,
University of Washington,Web_scraping,NA,NA? - https://guides.lib.uw.edu/research/text-mining/tools
"University of Colorado, Boulder",Data_analysis_instruction,https://calendar.colorado.edu/event/r_workshop_series_-_statistical_analysis_in_r_288?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder#.YD1ZMv5lCV4,
"University of Colorado, Boulder",Data_analysis_web,NA,
"University of Colorado, Boulder",Data_management_instruction,https://www.colorado.edu/crdds/what-we-do/research-data-management,
"University of Colorado, Boulder",Data_management_plans_instruction,NA,
"University of Colorado, Boulder",Data_management_plans_web,NA,
"University of Colorado, Boulder",Data_management_web,NA,
"University of Colorado, Boulder",Data_repository,https://scholar.colorado.edu/about,
"University of Colorado, Boulder",DMPTool,https://www.colorado.edu/crdds/what-we-do/research-data-management,
"University of Colorado, Boulder",Electronic_lab_notebooks,NA,
"University of Colorado, Boulder",Geospatial_instruction,https://calendar.colorado.edu/event/make_a_web_map_with_r?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder#.YD1cFP5lCV4,
"University of Colorado, Boulder",Geospatial_software_consult,NA,
"University of Colorado, Boulder",Geospatial_software_instruction,NA,
"University of Colorado, Boulder",Geospatial_software_web,NA,
"University of Colorado, Boulder",OSF,https://www.colorado.edu/crdds/what-we-do/research-data-management,
"University of Colorado, Boulder",Reproducible_research,NA,
"University of Colorado, Boulder",Statistical_consulting,NA,
"University of Colorado, Boulder",Text_data_mining,https://cu-boulder-crdds.github.io/LearningMaterials/PythonText.html,
"University of Colorado, Boulder",Version_control,NA,
"University of Colorado, Boulder",Web_scraping,NA,
University of Florida,Data_analysis_web,NA,
University of Florida,Data_management_instruction,NA,
University of Florida,Data_management_plans_consult,https://datamgmt.uflib.ufl.edu/,
University of Florida,Data_management_plans_web,https://guides.uflib.ufl.edu/datamanagement/dmp,
University of Florida,Data_repository,https://ufdc.ufl.edu/ufirg,
University of Florida,Data_visualization_software_web,NA,
University of Florida,Electronic_lab_notebooks,NA,
University of Florida,Geospatial_instruction,NA,
University of Florida,Geospatial_software_instruction,NA,
University of Florida,Geospatial_software_web,NA,
University of Florida,Geospatial_web,NA,
University of Florida,OSF,NA,
University of Florida,Text_data_mining,NA,
University of Florida,Version_control,https://guides.uflib.ufl.edu/reproducibility/lessons,
University of Florida,Web_scraping,NA,
"University of Minnesota, Twin Cities",Data_analysis_instruction,NA,
"University of Minnesota, Twin Cities",Data_analysis_web,NA,
"University of Minnesota, Twin Cities",Data_visualization_software_consult,NA,
"University of Minnesota, Twin Cities",Data_visualization_software_instruction,NA,
"University of Minnesota, Twin Cities",Electronic_lab_notebooks,NA,
"University of Minnesota, Twin Cities",Geospatial_consult,NA,
"University of Minnesota, Twin Cities",Geospatial_instruction,NA,
"University of Minnesota, Twin Cities",Geospatial_software_consult,NA,
"University of Minnesota, Twin Cities",Geospatial_software_instruction,NA,
"University of Minnesota, Twin Cities",Geospatial_software_web,NA,
"University of Minnesota, Twin Cities",OSF,NA,
"University of Minnesota, Twin Cities",Statistical_consulting,NA,
"University of Minnesota, Twin Cities",Text_data_mining,NA,
"University of Minnesota, Twin Cities",Web_scraping,NA,
University of Texas at Austin,Data_analysis_instruction,https://www.lib.utexas.edu/events/353,
University of Texas at Austin,Data_analysis_web,NA,
University of Texas at Austin,Data_management_plans_instruction,NA,
University of Texas at Austin,Data_management_plans_web,NA,
University of Texas at Austin,Data_management_web,NA,
University of Texas at Austin,Data_repository,NA,
University of Texas at Austin,Data_visualization_software_consult,NA,
University of Texas at Austin,Data_visualization_software_web,NA,
University of Texas at Austin,Electronic_lab_notebooks,NA,
University of Texas at Austin,Geospatial_web,https://guides.lib.utexas.edu/gis,
University of Texas at Austin,OSF,NA,
University of Texas at Austin,Reproducible_research,NA,
University of Texas at Austin,Statistical_consulting,NA,
University of Texas at Austin,Text_data_mining,https://www.lib.utexas.edu/events/432,
University of Texas at Austin,Version_control,NA,
Washington State University,Data_analysis_web,NA,
Washington State University,Data_management_instruction,NA,
Washington State University,Data_management_plans_instruction,NA,
Washington State University,Data_visualization_software_consult,NA,
Washington State University,Data_visualization_software_instruction,NA,
Washington State University,Data_visualization_software_web,NA,
Washington State University,DMPTool,https://libguides.libraries.wsu.edu/datamanagement/dmp,
Washington State University,Electronic_lab_notebooks,NA,
Washington State University,Geospatial_consult,NA,
Washington State University,Geospatial_instruction,NA,
Washington State University,Geospatial_software_consult,NA,
Washington State University,Geospatial_software_instruction,NA,
Washington State University,Geospatial_software_web,NA,
Washington State University,Geospatial_web,NA,
Washington State University,OSF,NA,
Washington State University,Reproducible_research,NA,
Washington State University,Statistical_consulting,NA,
Washington State University,Text_data_mining,NA,
Washington State University,Version_control,NA,
Washington State University,Web_scraping,NA,
Arizona State University,Carpentries,NA,
Arizona State University,Data_analysis_consult,NA,
Arizona State University,Data_analysis_web,https://lib.asu.edu/data/learning,
Arizona State University,Data_management_consult,NA,
Arizona State University,Data_management_instruction,NA,
Arizona State University,Data_management_plans_instruction,NA,
Arizona State University,Data_visualization_software_instruction,NA,
Arizona State University,Data_visualization_software_web,NA,
Arizona State University,Electronic_lab_notebooks,NA,
Arizona State University,Geospatial_instruction,https://lib.asu.edu/geo/events,
Arizona State University,Geospatial_software_web,NA,
Arizona State University,Geospatial_web,https://lib.asu.edu/geo,
Arizona State University,OSF,NA,
Arizona State University,Reproducible_research,NA,
Arizona State University,Statistical_consulting,NA,
Arizona State University,Text_data_mining,NA,
Arizona State University,Version_control,NA,
Arizona State University,Web_scraping,NA,
Michigan State University,Aerial_imagery,https://libguides.lib.msu.edu/c.php?g=95495&p=623953,
Michigan State University,Carpentries,NA,
Michigan State University,Data_analysis_consult,NA,
Michigan State University,Data_analysis_instruction,NA,
Michigan State University,Data_analysis_web,NA,
Michigan State University,Data_management_instruction,https://lib.msu.edu/rdmg/training/,
Michigan State University,Data_management_plans_instruction,NA,
Michigan State University,Data_management_plans_web,https://lib.msu.edu/rdmg/resources/,
Michigan State University,Data_repository,NA,
Michigan State University,Data_visualization_software_instruction,NA,
Michigan State University,Data_visualization_software_web,NA,
Michigan State University,DMPTool,https://lib.msu.edu/rdmg/resources/,
Michigan State University,Electronic_lab_notebooks,NA,
Michigan State University,Geospatial_consult,NA,
Michigan State University,Geospatial_software_consult,NA,
Michigan State University,Geospatial_web,https://libguides.lib.msu.edu/c.php?g=95932&p=624998,
Michigan State University,OSF,NA,
Michigan State University,Reproducible_research,NA,
Michigan State University,Statistical_consulting,NA,
Michigan State University,Text_data_mining,https://lib.msu.edu/dts/,
Michigan State University,Version_control,NA,
Michigan State University,Web_scraping,NA,
Ohio State University,Aerial_imagery,NA,
Ohio State University,Carpentries,NA,
Ohio State University,Data_analysis_consult,NA,
Ohio State University,Data_analysis_instruction,NA,
Ohio State University,Data_analysis_web,NA,
Ohio State University,Data_management_consult,NA,
Ohio State University,Data_management_instruction,NA,
Ohio State University,Data_management_plans_instruction,NA,
Ohio State University,Data_management_plans_web,NA,
Ohio State University,Data_visualization_software_instruction,NA,
Ohio State University,Data_visualization_software_web,NA,
Ohio State University,Electronic_lab_notebooks,NA,
Ohio State University,Geospatial_instruction,NA,
Ohio State University,Geospatial_software_instruction,NA,
Ohio State University,Geospatial_web,https://guides.osu.edu/geospatial-data/home,
Ohio State University,OSF,NA,
Ohio State University,Reproducible_research,NA,
Ohio State University,Statistical_consulting,NA,
Ohio State University,Version_control,NA,
Oregon State University,Data_analysis_consult,NA,
Oregon State University,Data_analysis_instruction,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty,
Oregon State University,Data_analysis_web,NA,
Oregon State University,Data_management_consult,https://guides.library.oregonstate.edu/research-data-services/managing-data,
Oregon State University,Data_management_instruction,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty,
Oregon State University,Data_management_plans_instruction,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty,
Oregon State University,Data_visualization_software_consult,NA,
Oregon State University,Data_visualization_software_instruction,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty,
Oregon State University,Data_visualization_software_web,NA,
Oregon State University,Electronic_lab_notebooks,NA,
Oregon State University,Geospatial_consult,NA,
Oregon State University,Geospatial_instruction,NA,
Oregon State University,Geospatial_software_consult,NA,
Oregon State University,Geospatial_software_instruction,NA,
Oregon State University,Geospatial_software_web,NA,
Oregon State University,OSF,NA,
Oregon State University,Reproducible_research,NA,
Oregon State University,Statistical_consulting,NA,
Oregon State University,Text_data_mining,NA,
Oregon State University,Web_scraping,NA,
Pennsylvania State University,Carpentries,NA,
Pennsylvania State University,Data_management_instruction,https://libraries.psu.edu/research/research-data-services/data-management,
Pennsylvania State University,Data_management_plans_instruction,NA,
Pennsylvania State University,Data_management_plans_web,https://guides.libraries.psu.edu/rdm,
Pennsylvania State University,Data_repository,NA,
Pennsylvania State University,Data_visualization_software_web,NA,
Pennsylvania State University,DMPTool,https://libraries.psu.edu/research/research-data-services/data-management,
Pennsylvania State University,Electronic_lab_notebooks,NA,
Pennsylvania State University,Geospatial_instruction,https://libraries.psu.edu/maps,
Pennsylvania State University,Geospatial_software_consult,NA,
Pennsylvania State University,Geospatial_software_instruction,https://libraries.psu.edu/maps,
Pennsylvania State University,Geospatial_software_web,NA,
Pennsylvania State University,Geospatial_web,NA,
Pennsylvania State University,OSF,NA,
Pennsylvania State University,Reproducible_research,NA,
Pennsylvania State University,Text_data_mining,NA,
Pennsylvania State University,Version_control,NA,
Pennsylvania State University,Web_scraping,NA,
Stanford University,Aerial_imagery,NA,
Texas A&M University,Carpentries,NA,
Texas A&M University,Data_analysis_consult,NA,
University of Arizona,Carpentries,NA,
"University of California, Berkeley",Carpentries,NA,
"University of California, Berkeley",Data_analysis_consult,NA,
"University of California, Davis",Carpentries,NA,
"University of California, Los Angeles",Carpentries,https://www.library.ucla.edu/events/software-carpentry-python-0,
"University of California, Los Angeles",Data_analysis_consult,https://www.library.ucla.edu/about-0,
"University of Colorado, Boulder",Carpentries,https://www.colorado.edu/libraries/research-assistance/data-services,
University of Florida,Carpentries,NA,
University of Florida,Data_analysis_consult,https://arcs.uflib.ufl.edu/services/data-science/,
University of Florida,Data_analysis_instruction,https://arcs.uflib.ufl.edu/services/data-science/,
University of Florida,Data_visualization_software_instruction,https://arcs.uflib.ufl.edu/services/data-science/,
University of Illinois at Urbana-Champaign,Carpentries,NA,
University of Illinois at Urbana-Champaign,Data_analysis_consult,NA,
University of Illinois at Urbana-Champaign,Data_analysis_instruction,NA,
University of Illinois at Urbana-Champaign,Data_analysis_web,NA,
University of Iowa,Carpentries,NA,
University of Iowa,Data_analysis_consult,NA,
"University of Maryland, College Park",Aerial_imagery,NA,
"University of Minnesota, Twin Cities",Carpentries,NA,
"University of Minnesota, Twin Cities",Data_analysis_consult,NA,
"University of Minnesota, Twin Cities",Data_management_plans_instruction,NA,
University of North Carolina at Chapel Hill,Carpentries,NA,
University of Oregon,Carpentries,NA,
University of Southern California,Aerial_imagery,NA,
University of Southern California,Carpentries,NA,
University of Southern California,Data_analysis_consult,https://libraries.usc.edu/bioinformatics/consultation,
University of Southern California,Data_analysis_instruction,https://libraries.usc.edu/bioinformatics/workshops-training,
University of Southern California,Data_analysis_web,https://libguides.usc.edu/LearnBioinformatics,
University of Texas at Austin,Aerial_imagery,NA,
University of Texas at Austin,Data_analysis_consult,NA,
University of Utah,Carpentries,NA,
University of Utah,Data_analysis_consult,NA,
University of Washington,Carpentries,NA,
University of Washington,Data_analysis_consult,NA,
University of Washington,Data_analysis_instruction,NA,
Washington State University,Aerial_imagery,NA,
Washington State University,Carpentries,NA,
Washington State University,Data_analysis_consult,NA,
Washington State University,Data_analysis_instruction,NA,
"University of California, Davis",Data_analysis_instruction,https://datalab.ucdavis.edu/archive/,
"University of California, Davis",Data_analysis_web,https://datalab.ucdavis.edu/research-toolkits/,
"University of California, Davis",Data_management_consult,"https://www.library.ucdavis.edu/service/research-data-services/#Data Management, Publishing, and Preservation",
"University of California, Davis",Data_management_plans_consult,https://www.library.ucdavis.edu/service/data-management/plan-2/,
"University of California, Davis",Data_management_plans_web,https://www.library.ucdavis.edu/service/data-management/plan-2//,
"University of California, Davis",Data_repository,https://www.library.ucdavis.edu/service/data-management/share/#dryad-1,
"University of California, Davis",Data_visualization_software_web,https://datalab.ucdavis.edu/research-toolkits//,
"University of California, Davis",Electronic_lab_notebooks,NA,
"University of California, Davis",Geospatial_consult,https://datalab.ucdavis.edu/services/,
"University of California, Davis",Geospatial_software_web,https://datalab.ucdavis.edu/geospatial/,
"University of California, Davis",Geospatial_web,https://datalab.ucdavis.edu/geospatial/,
"University of California, Davis",OSF,NA,
"University of California, Davis",Statistical_consulting,NA,
"University of California, Davis",Version_control,https://datalab.ucdavis.edu/archive/,
"University of California, Davis",Web_scraping,https://datalab.ucdavis.edu/archive/,
"University of California, Los Angeles",Data_analysis_instruction,NA,
"University of California, Los Angeles",Data_analysis_web,NA,
"University of California, Los Angeles",Data_management_consult,https://www.library.ucla.edu/support/publishing-data-management/scholarly-communication-services/data-management-curation-services,
"University of California, Los Angeles",Data_management_instruction,NA,
"University of California, Los Angeles",Data_management_plans_instruction,NA,
"University of California, Los Angeles",Data_visualization_software_web,https://guides.library.ucla.edu/data-visualization,
"University of California, Los Angeles",Electronic_lab_notebooks,NA,
"University of California, Los Angeles",Geospatial_instruction,NA,
"University of California, Los Angeles",Geospatial_software_instruction,NA,
"University of California, Los Angeles",Geospatial_software_web,https://guides.library.ucla.edu/gis,
"University of California, Los Angeles",Geospatial_web,https://guides.library.ucla.edu/gis,
"University of California, Los Angeles",OSF,NA,
"University of California, Los Angeles",Reproducible_research,NA,
"University of Maryland, College Park",Data_analysis_web,NA,
"University of Maryland, College Park",Data_management_consult,NA,
"University of Maryland, College Park",Data_management_instruction,NA,
"University of Maryland, College Park",Data_management_plans_consult,https://www.lib.umd.edu/data,
"University of Maryland, College Park",Data_management_plans_instruction,NA,
"University of Maryland, College Park",Data_management_plans_web,https://www.lib.umd.edu/data/management/dmp-guide,
"University of Maryland, College Park",Data_management_web,https://www.lib.umd.edu/data,
"University of Maryland, College Park",Data_repository,https://www.lib.umd.edu/data/preservation/drum-for-data,
"University of Maryland, College Park",Data_visualization_software_consult,NA,
"University of Maryland, College Park",Data_visualization_software_web,NA,
"University of Maryland, College Park",DMPTool,NA,
"University of Maryland, College Park",Electronic_lab_notebooks,NA,
"University of Maryland, College Park",Geospatial_software_web,https://www.lib.umd.edu/gis/learning,
"University of Maryland, College Park",OSF,NA,
"University of Maryland, College Park",Reproducible_research,NA,
"University of Maryland, College Park",Text_data_mining,NA,
"University of Maryland, College Park",Version_control,NA,
"University of Maryland, College Park",Web_scraping,NA,
University of Southern California,Data_management_consult,NA,
University of Southern California,Data_management_instruction,https://libguides.usc.edu/c.php?g=1061168&p=7714704,
University of Southern California,Data_management_plans_consult,NA,
University of Southern California,Data_management_plans_web,NA,
University of Southern California,Data_management_web,NA,
University of Southern California,Data_repository,NA,
University of Southern California,Data_visualization_software_consult,NA,
University of Southern California,Data_visualization_software_web,NA,
University of Southern California,DMPTool,NA,
University of Southern California,Electronic_lab_notebooks,NA,
University of Southern California,Geospatial_consult,NA,
University of Southern California,Geospatial_instruction,https://libguides.usc.edu/c.php?g=1061168&p=7714704,
University of Southern California,Geospatial_software_consult,NA,
University of Southern California,Geospatial_software_instruction,https://libguides.usc.edu/c.php?g=1061168&p=7714704,
University of Southern California,Geospatial_software_web,NA,
University of Southern California,Geospatial_web,https://libguides.usc.edu/c.php?g=235195&p=15606655,
University of Southern California,OSF,NA,They have OSF for institutions but not clear who 'owns' it
University of Southern California,Statistical_consulting,NA,
University of Southern California,Version_control,NA,
University of Southern California,Web_scraping,NA,
"University of Wisconsin, Madison",Data_analysis_web,NA,
"University of Wisconsin, Madison",Data_management_consult,https://researchdata.wisc.edu/our-services/,
"University of Wisconsin, Madison",Data_management_instruction,NA,
"University of Wisconsin, Madison",Data_management_plans_instruction,NA,
"University of Wisconsin, Madison",Data_visualization_software_web,NA,
"University of Wisconsin, Madison",Geospatial_software_instruction,https://mediaspace.wisc.edu/media/Introduction+to+Geographic+Information+Systems+(GIS)+Workshop/1_m235nlfe,
"University of Wisconsin, Madison",Geospatial_software_web,https://researchguides.library.wisc.edu/c.php?g=178144&p=1169833,
"University of Wisconsin, Madison",Geospatial_web,https://researchguides.library.wisc.edu/c.php?g=178144&p=1170191,
"University of Wisconsin, Madison",Text_data_mining,NA,
"University of Wisconsin, Madison",Version_control,NA,
"University of Wisconsin, Madison",Data_analysis_consult,NA,
"University of Wisconsin, Madison",Data_visualization_software_consult,NA,
"University of Wisconsin, Madison",OSF,NA,
"University of Wisconsin, Madison",Reproducible_research,NA,
"University of Wisconsin, Madison",Statistical_consulting,NA,
"University of Wisconsin, Madison",Web_scraping,NA,
