Timestamp,Your initials,Institution,Statistical consulting,Web scraping,Text data mining or text analysis,Data repository or data preservation,Electronic lab notebooks,"Reproducible research (really looking for the word ""reproducible"" or ""replicable"")",Open Science Framework or OSF,DMPTool,"Software, Data, or Library Carpentry workshops","Aerial photos, imagery, or LiDAR (related to GIS)","Version control (e.g. Git, GitHub, Bitbucket)","Geospatial data and GIS general support, consults","Geospatial data and GIS general support, instruction","Geospatial data and GIS general support, web resources","Geospatial and GIS software, consults","Geospatial and GIS software, instruction","Geospatial and GIS software, web resources","Data management support, general, consults","Data management support, general, instruction","Data management support, general, web resources","Data management plans, consults","Data management plans, instruction","Data management plans, web resources","Data visualization software, consults","Data visualization software, instruction","Data visualization software, web resources","Data analysis or programming, consults","Data analysis or programming, instruction","Data analysis or programming, web resources",Other service 1,Other service 2,Other service 3,Other service 4,Other service 5
6/1/2020 12:43:46,CG,Arizona State University,https://lib.asu.edu/data/open-lab,,https://libguides.asu.edu/textanddatamining/introduction,https://lib.asu.edu/research/store,,,https://libguides.asu.edu/data/storage,https://libguides.asu.edu/data/start/dmptool,https://lib.asu.edu/data/open-lab,https://lib.asu.edu/geo,,https://lib.asu.edu/geo/services,https://lib.asu.edu/geo/services,https://lib.asu.edu/geo,https://lib.asu.edu/geo/services,https://lib.asu.edu/geo/services,https://libguides.asu.edu/esrisoftware,https://lib.asu.edu/research,,https://libguides.asu.edu/c.php?g=264208&p=1763700,https://lib.asu.edu/research,,https://libguides.asu.edu/c.php?g=264208&p=1763700,https://lib.asu.edu/data/open-lab,https://lib.asu.edu/data/open-lab,,https://lib.asu.edu/data/open-lab,https://lib.asu.edu/data/open-lab,,Text and Data Mining Libguide; https://libguides.asu.edu/textanddatamining/introduction,,,,
6/3/2020 14:56:52,CG,Michigan State University,https://lib.msu.edu/rdmg/servcat/cstat/,,https://lib.msu.edu/dh/,https://lib.msu.edu/rdmg/advising/,,,,,,http://libguides.lib.msu.edu/c.php?g=95932&p=624998,,,http://libguides.lib.msu.edu/gis,http://libguides.lib.msu.edu/gis,,http://libguides.lib.msu.edu/gis,http://libguides.lib.msu.edu/c.php?g=95932&p=1493888,https://lib.msu.edu/rdmg/advising/,https://lib.msu.edu/rdmg/training/,https://lib.msu.edu/rdmg/resources/,https://lib.msu.edu/rdmg/advising/,https://lib.msu.edu/rdmg/training/,https://lib.msu.edu/rdmg/resources/,http://digitalscholarshiplab.msu.edu/using-the-lab/experts/,http://digitalscholarshiplab.msu.edu/using-the-lab/experts/,http://libguides.lib.msu.edu/c.php?g=966965&p=7019951,https://lib.msu.edu/rdmg/servcat/cstat/,https://lib.msu.edu/rdmg/servcat/cstat/,https://libguides.lib.msu.edu/dataanalysis,,,,,
6/8/2020 11:21:09,CG,Ohio State University,,https://library.osu.edu/researchcommons/project-intake,http://guides.osu.edu/DH/text,http://guides.osu.edu/c.php?g=707751&p=6017038,,,,https://guides.osu.edu/c.php?g=711955,,,,https://library.osu.edu/researchcommons/help/gis-and-mapping,,http://guides.osu.edu/maps-geospatial-data,https://library.osu.edu/researchcommons/help/gis-and-mapping,,http://guides.osu.edu/maps-geospatial-data/software-tools,https://library.osu.edu/researchcommons/help/managing-data,,https://guides.osu.edu/IntroDataManagement,https://library.osu.edu/researchcommons/help/managing-data,,https://guides.osu.edu/c.php?g=711955,https://library.osu.edu/researchcommons/help/visualizing-data,,http://guides.osu.edu/DH/viz,,,http://guides.osu.edu/DH/data,Database Assistance; https://library.osu.edu/researchcommons/project-intake,,,,
6/10/2020 11:31:35,CG,Oregon State University,,,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty/workshops_on_demand,https://guides.library.oregonstate.edu/research-data-services/data-management-data-repositories,https://guides.library.oregonstate.edu/research-data-services/data-management-lab-notebooks,,,https://guides.library.oregonstate.edu/friendly.php?s=dmp,https://library.oregonstate.edu/researcher-support,https://guides.library.oregonstate.edu/c.php?g=285932&p=1906685,https://osulp.github.io/workshop_intro_to_git/,,,https://guides.library.oregonstate.edu/c.php?g=285915&p=1905258,,,,https://guides.library.oregonstate.edu/research-data-services/campus-data-services,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty/workshops_on_demand,https://guides.library.oregonstate.edu/research-data-services/managing-data,https://guides.library.oregonstate.edu/friendly.php?s=dmp,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty/workshops_on_demand,https://guides.library.oregonstate.edu/friendly.php?s=dmp,,,https://guides.library.oregonstate.edu/data,,,,Metadata LibGuide; https://guides.library.oregonstate.edu/research-data-services/data-management-metadata,Metadata consultations and workshops; https://library.oregonstate.edu/researcher-support,,,
6/11/2020 14:44:15,CG,Pennsylvania State University,https://libraries.psu.edu/research/research-data-services/statistical-consultations,,,https://libraries.psu.edu/research/research-data-services/data-archiving-and-preservation,,,,http://guides.libraries.psu.edu/rdm,,http://guides.libraries.psu.edu/aerialphotographs,,https://libraries.psu.edu/about/libraries/donald-w-hamer-center-maps-and-geospatial-information/request-geospatial-or-maps,,http://guides.libraries.psu.edu/c.php?g=515722&p=3525892,,,,https://libraries.psu.edu/research/research-data-services/data-management,https://libraries.psu.edu/research/research-data-services/data-management,http://guides.libraries.psu.edu/dmptoolkit,https://libraries.psu.edu/research/research-data-services/data-management,https://libraries.psu.edu/research/research-data-services/data-management,https://www.e-education.psu.edu/dmpt/,https://guides.libraries.psu.edu/data-analytics-visualization,https://guides.libraries.psu.edu/data-analytics-visualization,https://guides.libraries.psu.edu/data-analytics-visualization,,,,,,,,
6/17/2020 10:34:23,CG,Stanford University,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,,https://library.stanford.edu/events/text-analysis-r,https://library.stanford.edu/research/data-management-services/share-and-preserve-research-data,https://library.stanford.edu/science/software/chemoffice-professional,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,,https://library.stanford.edu/research/data-management-services/data-management-plans/dmptool,https://library.stanford.edu/research/data-management-services/events,,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,https://library.stanford.edu/research/stanford-geospatial-center/services,https://library.stanford.edu/research/stanford-geospatial-center/workshops,https://library.stanford.edu/research/stanford-geospatial-center,,https://library.stanford.edu/research/stanford-geospatial-center/workshops,https://library.stanford.edu/research/stanford-geospatial-center/software,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,https://library.stanford.edu/research/data-management-services/data-best-practices,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,https://library.stanford.edu/research/data-management-services/data-management-plans,,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,,,,,,,,,
6/19/2020 12:46:30,CG,Texas A&M University,,,,https://tamu.libguides.com/research-data-management/repositories,,,https://tamu.libguides.com/research-data-management/collaborate,https://tamu.libguides.com/research-data-management/dmps,,http://tamu.libguides.com/aerialphotos,,,,http://tamu.libguides.com/gis,,,http://tamu.libguides.com/gis/onlinelearning,https://askus.library.tamu.edu/rdms,https://tamu.libguides.com/research-data-management/workshops,https://tamu.libguides.com/research-data-management/overview,https://library.tamu.edu/services/scholarly_communication/Data_Management/planning.html,https://tamu.libguides.com/research-data-management/workshops,https://tamu.libguides.com/research-data-management/dmps,,,,,,,,,,,
6/20/2020 11:42:37,CG,"University of California, Berkeley",,,https://guides.lib.berkeley.edu/text-mining,https://researchdata.berkeley.edu/services/data-preservation-and-archiving,https://guides.lib.berkeley.edu/ERN,https://guides.lib.berkeley.edu/reproducibility-guide,,https://researchdata.berkeley.edu/services/data-management-plans,https://guides.lib.berkeley.edu/library-carpentry-sprint2017,https://guides.lib.berkeley.edu/maps/airphotos,,https://guides.lib.berkeley.edu/gis/remote,https://guides.lib.berkeley.edu/gis/remote,https://guides.lib.berkeley.edu/gis/remote,,,https://guides.lib.berkeley.edu/gis/tools,https://researchdata.berkeley.edu/services,https://researchdata.berkeley.edu/training,https://researchdata.berkeley.edu/services,https://researchdata.berkeley.edu/services/data-management-plans,,https://researchdata.berkeley.edu/services/data-management-plans,,,https://guides.lib.berkeley.edu/data-visualization/about,,,https://guides.lib.berkeley.edu/ps190/stats,,,,,
6/22/2020 14:50:41,AC,Arizona State University,https://lib.asu.edu/data/open-lab,,https://lib.asu.edu/data,https://repository.asu.edu/,https://libguides.asu.edu/chemistry/web,https://sgsup.asu.edu/sparc/RRWorkshop,https://libguides.asu.edu/openaccess/opendata-science,,https://lib.asu.edu/data/open-lab,https://lib.asu.edu/geo/imagery,https://github.com/UnitForDataScience,https://lib.asu.edu/geo/services,https://lib.asu.edu/geo/services,https://lib.asu.edu/geo/data,https://lib.asu.edu/geo/software,https://lib.asu.edu/geo/software,https://lib.asu.edu/geo/software,https://lib.asu.edu/research/proposals,https://lib.asu.edu/research/proposals,https://lib.asu.edu/research/proposals,https://libguides.asu.edu/data,https://libguides.asu.edu/data,https://libguides.asu.edu/data,https://lib.asu.edu/data/about,https://lib.asu.edu/librarychannel/Competition-Telling-stories-data,https://lib.asu.edu/librarychannel/Get-involved-data-science,,,,https://libguides.asu.edu/grad/workshops,,,,
6/22/2020 17:17:10,AC,Michigan State University,http://libguides.lib.msu.edu/datastats,,https://libguides.lib.msu.edu/c.php?g=95580&p=6293247,https://lib.msu.edu/preservation/digital/,,,,,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,,https://blogs.lib.msu.edu/map-library/2016/mar/geospatial-workshops-spring-2016,https://blogs.lib.msu.edu/map-library/2016/mar/geospatial-workshops-spring-2016,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,https://blogs.lib.msu.edu/map-library/2016/mar/geospatial-workshops-spring-2016,https://libguides.lib.msu.edu/c.php?g=224434,https://libguides.lib.msu.edu/c.php?g=224434,https://lib.msu.edu/rdmg/advising/,https://lib.msu.edu/rdmg/training/,https://lib.msu.edu/rdmg/resources/,https://lib.msu.edu/rdmg/advising/,https://lib.msu.edu/rdmg/training/,https://lib.msu.edu/rdmg/resources/,https://lib.msu.edu/about/data/,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,http://libguides.lib.msu.edu/dataanalysis,http://libguides.lib.msu.edu/c.php?g=96626&p=626740,http://libguides.lib.msu.edu/c.php?g=96626&p=768034,https://lib.msu.edu/computer/printing/,https://blogpublic.lib.msu.edu/map-library/2020/may/accessible-data-visualization-and-mapping,https://libguides.lib.msu.edu/c.php?g=721645&p=7376150,https://blogs.lib.msu.edu/map-library/2017/sep/visualization-community-seminar-series,
6/23/2020 14:17:50,AC,Ohio State University,https://scs.osu.edu/,https://library.osu.edu/researchcommons/tag/data-scraping,https://research.osu.edu/collaborative-archive-and-data-research-environment-cadre-services-now-available/,https://library.osu.edu/site/osulstaff/2020/01/31/ohio-state-new-institutional-member-of-dryad-open-data-repository/,https://resourcecenter.odee.osu.edu/labarchives,https://library.osu.edu/researchcommons/event/center-for-open-science-workshop,https://library.osu.edu/researchcommons/tag/open-science,https://library.osu.edu/researchcommons/2018/03/09/new-dmptool,,http://guides.osu.edu/maps-geospatial-data/maps,https://u.osu.edu/ihudas/software/,http://guides.osu.edu/maps-geospatial-data/training-tutorials,http://guides.osu.edu/maps-geospatial-data/training-tutorials,http://guides.osu.edu/maps-geospatial-data/geospatial-data,http://guides.osu.edu/maps-geospatial-data/software-tools,http://guides.osu.edu/maps-geospatial-data/software-tools,http://guides.osu.edu/maps-geospatial-data/software-tools,http://guides.osu.edu/IntroDataManagement,http://guides.osu.edu/IntroDataManagement,https://library.osu.edu/researchcommons/help/managing-data,https://guides.osu.edu/c.php?g=711955,https://guides.osu.edu/c.php?g=711955,https://guides.osu.edu/c.php?g=711955,https://library.osu.edu/researchcommons/help/visualizing-data,https://library.osu.edu/researchcommons/help/visualizing-data,https://library.osu.edu/researchcommons/help/visualizing-data,https://hslguides.osu.edu/hsl_du_software/home,https://hslguides.osu.edu/hsl_du_software/home,https://hslguides.osu.edu/hsl_du_software/home,,,,,
6/23/2020 14:35:34,AC,Oregon State University,https://stat.oregonstate.edu/consultingdropin,,https://guides.library.oregonstate.edu/research-data-services/data-management-types-formats,https://guides.library.oregonstate.edu/research-data-services/data-management-archive-preserve,https://guides.library.oregonstate.edu/research-data-services/data-management-lab-notebooks,,https://guin.library.oregonstate.edu/workshops-offered-data-wrangling-research-411-and-open-research-%E2%80%93-toolsbest-practices-412,http://dmptool.org/,https://guides.library.oregonstate.edu/c.php?g=285930&p=7590538#s-lg-box-24107783,https://spatialdata.oregonexplorer.info/geoportal/,https://guides.library.oregonstate.edu/c.php?g=285930&p=7590538#s-lg-box-24107783,https://guides.library.oregonstate.edu/c.php?g=285915&p=1905258,https://guides.library.oregonstate.edu/c.php?g=285915&p=1905258,https://guides.library.oregonstate.edu/c.php?g=285915&p=1905258,http://www.geo.oregonstate.edu/esri/,http://www.geo.oregonstate.edu/esri/,http://www.geo.oregonstate.edu/esri/,https://guides.library.oregonstate.edu/research-data-services/managing-data,https://guides.library.oregonstate.edu/research-data-services/managing-data,https://guides.library.oregonstate.edu/research-data-services/managing-data,https://guides.library.oregonstate.edu/research-data-services/data-management-file-organization,https://guides.library.oregonstate.edu/research-data-services/data-management-file-organization,https://guides.library.oregonstate.edu/research-data-services/data-management-file-organization,,,,,,https://guides.library.oregonstate.edu/data,https://guides.library.oregonstate.edu/friendly.php?s=dmp,,,,
6/23/2020 15:13:32,AC,Pennsylvania State University,https://libraries.psu.edu/research/research-data-services/statistical-consultations,,,https://libraries.psu.edu/about/departments/preservation-conservation-and-digitization/about-bindery,,https://sites.psu.edu/codeforher/r-workshop-series/,,,,http://guides.libraries.psu.edu/aerialphotographs,,https://libraries.psu.edu/about/libraries/donald-w-hamer-center-maps-and-geospatial-information/request-geospatial-or-maps,http://guides.libraries.psu.edu/GISopensource,http://guides.libraries.psu.edu/GISopensource,http://guides.libraries.psu.edu/GISopensource,http://guides.libraries.psu.edu/GISopensource,http://guides.libraries.psu.edu/GISopensource,https://libraries.psu.edu/research/research-data-services/data-management,,http://guides.libraries.psu.edu/rdm,http://guides.libraries.psu.edu/dmptoolkit,http://guides.libraries.psu.edu/dmptoolkit,http://guides.libraries.psu.edu/dmptoolkit,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital,https://guides.libraries.psu.edu/c.php?g=894031&p=6889383,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/training-events,https://guides.libraries.psu.edu/c.php?g=894031&p=6429300,https://libraries.psu.edu/about/departments/libraries-strategic-technologies,,,,
6/24/2020 13:52:31,AC,Stanford University,https://library.stanford.edu/research/cidr/consulting,https://library.stanford.edu/research/cidr/consulting,https://library.stanford.edu/research/cidr/consulting,https://library.stanford.edu/research/stanford-digital-repository,https://library.stanford.edu/blogs/stanford-libraries-blog/2018/11/chemoffice-professional-version-18-and-signals-notebook,https://library.stanford.edu/events/2016-05-02/improving-reproducibility-quantitative-research-hands-workshop,,,https://searchworks.stanford.edu/view/gb482gq5743,https://library.stanford.edu/guides/satellite-imagery,https://library.stanford.edu/events/introduction-git-github-organizing-your-stuff-1,https://library.stanford.edu/rumsey/using-center/teaching-researching-and-consulting,https://library.stanford.edu/rumsey/using-center/teaching-researching-and-consulting,https://library.stanford.edu/rumsey/collections,https://library.stanford.edu/rumsey/programs/workshops-and-tours,https://library.stanford.edu/rumsey/programs/workshops-and-tours,https://us14.campaign-archive.com/?u=bc280d099b8c85ba9fd6e0bb0&id=8ad908bc32,https://library.stanford.edu/research/data-management-services,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,https://www.dataone.org/all-best-practices,https://library.stanford.edu/research/data-management-services/data-management-plans/specific-guidance,https://library.stanford.edu/research/data-management-services/data-best-practices,https://library.stanford.edu/research/data-management-services/data-management-plans/specific-guidance,https://library.stanford.edu/events/data-visualization-r,https://library.stanford.edu/events/data-visualization-tableau,https://library.stanford.edu/events/basics-data-visualization,https://ssds.stanford.edu/consulting-workshops/walk-consulting,https://library.stanford.edu/research/cidr/workshops,https://library.stanford.edu/research/data-and-statistical-software,https://library.stanford.edu/research/data-management-services/data-management-plans/dmptool,,,,
